Time,Timestamp,X,Y,Z,Magnitude,Pressure,Label
39:32.1,312.8667908,-1.295043945,0.501831055,-0.112304688,1.393407898,955.8327587,sd
39:32.1,312.886322,-1.295043945,0.501831055,-0.112304688,1.393407898,955.8327587,sd
39:32.1,312.9233398,-0.952758789,0.551391602,-0.111694336,1.106461763,955.7616469,sd
39:32.1,312.9429016,-0.952758789,0.551391602,-0.111694336,1.106461763,955.7616469,sd
39:32.2,312.9624329,-0.952758789,0.551391602,-0.111694336,1.106461763,955.7616469,sd
39:32.2,312.9873657,-0.582641602,0.431640625,-0.189697266,0.74951312,955.7747586,sd
39:32.2,313.0069275,-0.582641602,0.431640625,-0.189697266,0.74951312,955.7747586,sd
39:32.2,313.0265198,-0.582641602,0.431640625,-0.189697266,0.74951312,955.7747586,sd
39:32.2,313.0461731,-0.582641602,0.431640625,-0.189697266,0.74951312,955.7747586,sd
39:32.3,313.0692139,-0.275634766,0.362304688,-0.336547852,0.566130433,955.7747586,sd
39:32.3,313.0889282,-0.275634766,0.362304688,-0.336547852,0.566130433,955.7747586,sd
39:32.3,313.1086121,-0.275634766,0.362304688,-0.336547852,0.566130433,955.7747586,sd
39:32.3,313.1283264,-0.275634766,0.362304688,-0.336547852,0.566130433,955.7747586,sd
39:32.4,313.1534119,-0.097045898,0.521850586,-0.538452148,0.756093021,955.9270549,sd
39:32.4,313.1731873,-0.097045898,0.521850586,-0.538452148,0.756093021,955.9270549,sd
39:32.4,313.1933899,-0.097045898,0.521850586,-0.538452148,0.756093021,955.9270549,sd
39:32.4,313.2183838,-0.097045898,0.521850586,-0.538452148,0.756093021,955.9270549,sd
39:32.4,313.2383423,-0.127319336,0.676391602,-0.723266602,0.998413937,956.0483328,sd
39:32.5,313.2582397,-0.127319336,0.676391602,-0.723266602,0.998413937,956.0483328,sd
39:32.5,313.2781067,-0.127319336,0.676391602,-0.723266602,0.998413937,956.0483328,sd
39:32.5,313.3013,-0.199829102,0.690063477,-0.797973633,1.073723051,956.0483328,sd
39:32.5,313.3211975,-0.199829102,0.690063477,-0.797973633,1.073723051,956.0483328,sd
39:32.5,313.341156,-0.199829102,0.690063477,-0.797973633,1.073723051,956.0483328,sd
39:32.6,313.3611755,-0.199829102,0.690063477,-0.797973633,1.073723051,956.0483328,sd
39:32.6,313.3864746,-0.171020508,0.588989258,-0.731811523,0.954832166,956.0483328,sd
39:32.6,313.4065247,-0.171020508,0.588989258,-0.731811523,0.954832166,955.842507,sd
39:32.6,313.4265747,-0.171020508,0.588989258,-0.731811523,0.954832166,955.842507,sd
39:32.7,313.4466248,-0.171020508,0.588989258,-0.731811523,0.954832166,955.842507,sd
39:32.7,313.4720764,0.00378418,0.554443359,-0.719604492,0.908434028,955.798744,sd
39:32.7,313.492157,0.00378418,0.554443359,-0.719604492,0.908434028,955.798744,sd
39:32.7,313.5123291,0.00378418,0.554443359,-0.719604492,0.908434028,955.798744,sd
39:32.7,313.5324707,0.00378418,0.554443359,-0.719604492,0.908434028,955.798744,sd
39:32.8,313.5562134,0.064575195,0.54675293,-0.736816406,0.919786464,955.798744,sd
39:32.8,313.5766907,0.064575195,0.54675293,-0.736816406,0.919786464,955.798744,sd
39:32.8,313.5968933,0.064575195,0.54675293,-0.736816406,0.919786464,955.798744,sd
39:32.8,313.6224365,0.127319336,0.613037109,-0.78137207,1.001282689,955.798744,sd
